-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Latitude  44.0   Longitude 37.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 0.0 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DNI      CERES SYN1deg All Sky Surface Shortwave Downward Direct Normal Irradiance (Wh/m^2) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,T2M
2023,1,1,0,0.0,0.0,0.0,10.45
2023,1,1,1,0.0,0.0,0.0,10.49
2023,1,1,2,0.0,0.0,0.0,10.52
2023,1,1,3,0.0,0.0,0.0,10.56
2023,1,1,4,0.0,0.0,0.0,10.61
2023,1,1,5,0.0,0.0,0.0,10.63
2023,1,1,6,0.0,0.0,0.0,10.62
2023,1,1,7,12.45,16.61,14.75,10.58
2023,1,1,8,58.62,56.44,50.59,10.56
2023,1,1,9,122.43,270.0,78.79,10.57
2023,1,1,10,162.12,302.24,103.62,10.58
2023,1,1,11,170.93,148.64,148.12,10.58
2023,1,1,12,139.55,269.46,106.38,10.57
2023,1,1,13,96.25,13.78,94.23,10.58
2023,1,1,14,48.78,32.41,44.88,10.62
2023,1,1,15,22.55,8.12,23.26,10.65
2023,1,1,16,0.0,0.0,0.0,10.67
2023,1,1,17,0.0,0.0,0.0,10.66
2023,1,1,18,0.0,0.0,0.0,10.64
2023,1,1,19,0.0,0.0,0.0,10.65
2023,1,1,20,0.0,0.0,0.0,10.65
2023,1,1,21,0.0,0.0,0.0,10.66
2023,1,1,22,0.0,0.0,0.0,10.69
2023,1,1,23,0.0,0.0,0.0,10.75
2023,1,2,0,0.0,0.0,0.0,10.81
2023,1,2,1,0.0,0.0,0.0,10.85
2023,1,2,2,0.0,0.0,0.0,10.88
2023,1,2,3,0.0,0.0,0.0,10.9
2023,1,2,4,0.0,0.0,0.0,10.92
2023,1,2,5,0.0,0.0,0.0,10.9
2023,1,2,6,0.0,0.0,0.0,10.86
2023,1,2,7,18.08,41.73,18.36,10.82
2023,1,2,8,110.2,219.46,68.59,10.8
2023,1,2,9,214.48,485.12,98.74,10.8
2023,1,2,10,301.25,501.52,125.61,10.81
2023,1,2,11,336.62,664.46,105.43,10.81
2023,1,2,12,308.52,566.86,129.71,10.83
2023,1,2,13,211.32,475.23,85.7,10.85
2023,1,2,14,127.78,286.89,80.88,10.88
2023,1,2,15,32.17,79.2,29.97,10.88
2023,1,2,16,0.0,0.0,0.0,10.86
2023,1,2,17,0.0,0.0,0.0,10.82
2023,1,2,18,0.0,0.0,0.0,10.78
2023,1,2,19,0.0,0.0,0.0,10.74
2023,1,2,20,0.0,0.0,0.0,10.7
2023,1,2,21,0.0,0.0,0.0,10.67
2023,1,2,22,0.0,0.0,0.0,10.63
2023,1,2,23,0.0,0.0,0.0,10.51
2023,1,3,0,0.0,0.0,0.0,10.31
2023,1,3,1,0.0,0.0,0.0,10.13
2023,1,3,2,0.0,0.0,0.0,10.05
2023,1,3,3,0.0,0.0,0.0,9.99
2023,1,3,4,0.0,0.0,0.0,9.96
2023,1,3,5,0.0,0.0,0.0,10.1
2023,1,3,6,0.0,0.0,0.0,10.28
2023,1,3,7,21.77,74.76,19.26,10.42
2023,1,3,8,134.93,395.21,59.99,10.55
2023,1,3,9,250.07,548.19,84.27,10.66
2023,1,3,10,328.52,658.1,97.63,10.76
2023,1,3,11,363.4,675.94,106.09,10.77
2023,1,3,12,347.42,759.89,81.07,10.73
2023,1,3,13,262.6,624.62,83.41,10.69
2023,1,3,14,155.1,481.57,66.94,10.65
